Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-12 12:00:00,32.88,85.36,73.36,29.84,699.45
2016-01-12 13:00:00,33.62,87.89,62.33,29.8,443.11
2016-01-12 14:00:00,30.25,89.36,58.91,29.77,461.18
2016-01-12 15:00:00,37.75,89.3,53.3,29.76,463
2016-01-12 16:00:00,40.12,89,47.2,29.75,280.8
2016-01-12 17:00:00,28.25,88.45,44.09,29.77,71.55
2016-01-12 18:00:00,17.62,86.78,47.67,29.78,0.56
2016-01-12 19:00:00,12.31,85.45,53.55,29.8,0
2016-01-12 20:00:00,10.25,84.5,56,29.82,0
2016-01-12 21:00:00,7.19,83.56,58,29.84,0
2016-01-12 22:00:00,5.81,82.33,71.89,29.83,0
2016-01-12 23:00:00,5.44,81.9,79.5,29.84,0
2016-01-13 00:00:00,5.75,81,81,29.83,0
2016-01-13 01:00:00,5.62,81,81.8,29.82,0
2016-01-13 02:00:00,6.25,80.2,83.3,29.8,0
2016-01-13 03:00:00,4.88,80,85.67,29.79,0
2016-01-13 04:00:00,5,79.7,86.3,29.8,0
2016-01-13 05:00:00,5.12,79.33,86.78,29.81,0
2016-01-13 06:00:00,6,79,87.1,29.82,2.8
2016-01-13 07:00:00,28.75,79.7,85.6,29.85,68.1
2016-01-13 08:00:00,22.12,82.11,80.33,29.87,258.56
2016-01-13 09:00:00,35,84.2,76.4,29.88,446.6
2016-01-13 10:00:00,42.81,85.2,72.4,29.87,253.7
2016-01-13 11:00:00,48.56,87.4,67.2,29.85,431.7
2016-01-13 12:00:00,48.38,88.11,65.56,29.82,485.11
2016-01-13 13:00:00,46.88,87.6,65.2,29.78,328.4
2016-01-13 14:00:00,42.25,89.62,61.12,29.75,484.62
2016-01-13 15:00:00,42.62,91.45,57.18,29.74,407.55
2016-01-13 16:00:00,49.12,89.2,60.8,29.75,233.6
2016-01-13 17:00:00,31.5,86.7,67,29.77,56.5
2016-01-13 18:00:00,17.44,85.25,69.5,29.8,0.88
2016-01-13 19:00:00,13.81,84.44,70.67,29.81,0
2016-01-13 20:00:00,10.25,83.78,74.56,29.83,0
2016-01-13 21:00:00,5.88,83,79.3,29.85,0
2016-01-13 22:00:00,5.5,82,82.22,29.85,0
2016-01-13 23:00:00,5.5,82,84,29.83,0
2016-01-14 00:00:00,5.5,82,85,29.83,0
2016-01-14 01:00:00,6.12,81.82,85,29.81,0
