month,day,hh,load,Temp
2,4,14,70.5,87
2,4,15,49.9375,88
2,4,16,54.0625,90
2,4,17,47.625,90
2,4,18,24.75,90
2,4,19,19.25,90
2,4,20,16.5,89
2,4,21,11.125,88
2,4,22,7.937500002,88
2,4,23,8.187499998,87
2,5,0,9.75,86
2,5,1,7.999999998,85
2,5,2,6.437500002,85
2,5,3,6.75,84
2,5,4,6.250000002,82
2,5,5,7.812499998,81
2,5,6,8.749999998,81
2,5,7,19.875,81
2,5,8,26.75,80
2,5,9,37.75,80
2,5,10,33,82
2,5,11,35.25,83
2,5,12,29.25,86
2,5,13,51.625,86
2,5,14,55.125,88
2,5,15,51.625,90
2,5,16,44.25,90
2,5,17,33.375,90
2,5,18,22.5,92
2,5,19,21,91
2,5,20,16.875,90
2,5,21,12.5,88
2,5,22,8.875000002,88
2,5,23,7.5,88
2,6,0,6,86
2,6,1,7.187500002,85
2,6,2,6.312499998,84
2,6,3,5.75,83
2,6,4,6,82
2,6,5,5.6875,81
2,6,6,7.062499998,80
2,6,7,4.625,79
2,6,8,3.25,79
2,6,9,1.75,77
2,6,10,3.25,78
2,6,11,3.75,78
2,6,12,1.75,80
2,6,13,0,80
2,6,14,0,80
2,6,15,2.3125,82
2,6,16,6.5625,83
2,6,17,9.499999998,85
2,6,18,10.375,86
2,6,19,10.75,85
2,6,20,8.25,84
2,6,21,6.250000002,83
2,6,22,6.5625,81
2,6,23,6.687499998,80
2,7,0,8.374999998,78
2,7,1,5.875,77
2,7,2,5.625,75
2,7,3,5.625,74
2,7,4,5,73
2,7,5,6.5625,71
2,7,6,4.5,70
2,7,7,4,69
2,7,8,2.4375,68
2,7,9,1.875,67
2,7,10,0,67
2,7,11,0,67
2,7,12,0,69
2,7,13,0,72
2,7,14,0,74
2,7,15,0,75
2,7,16,3.75,78
2,7,17,7.125,79
2,7,18,9.5625,78
2,7,19,7.812499998,78
2,7,20,5.9375,77
2,7,21,5.25,76
2,7,22,5.625,76
2,7,23,7.437499998,74
2,8,0,5.125,73
2,8,1,4.8125,72
2,8,2,4.75,71
2,8,3,5.8125,70
2,8,4,4.9375,70
2,8,5,4,69
2,8,6,5.375,67
2,8,7,11.375,66
2,8,8,8.25,65
2,8,9,7.375000002,63
2,8,10,8.374999998,63
2,8,11,7.5,64
2,8,12,9.250000002,69
2,8,13,17.375,71
2,8,14,23.375,74
2,8,15,26.5,75
2,8,16,27.0625,77
2,8,17,24.875,78
2,8,18,14.0625,78
2,8,19,13.5,78
2,8,20,7.000000002,76
2,8,21,6,75
2,8,22,6.250000002,75
2,8,23,7.6875,74
2,9,0,5.6875,73
2,9,1,5.125,72
2,9,2,5.125,72
2,9,3,4.625,71
2,9,4,6.124999998,71
2,9,5,4.25,70
2,9,6,6.312499998,69
2,9,7,11.375,69
2,9,8,12.9375,67
2,9,9,21.0625,66
2,9,10,24.0625,67
2,9,11,21.75,71
2,9,12,24.125,74
2,9,13,24.75,77
2,9,14,29.5,80
2,9,15,34.75,82
2,9,16,32.625,82
2,9,17,34.5,84
2,9,18,22.125,83
2,9,19,10.875,84
2,9,20,8.125000002,82
2,9,21,5.125,80
2,9,22,6.9375,79
2,9,23,6.75,78
2,10,0,6.250000002,77
2,10,1,5.625,76
2,10,2,7.3125,75
2,10,3,4.75,74
2,10,4,4.9375,74
2,10,5,4.9375,73
2,10,6,7.375000002,72
2,10,7,11,71
2,10,8,18.125,71
2,10,9,23,71
2,10,10,31.625,73
2,10,11,30.25,76
2,10,12,23.3125,81
2,10,13,28.6875,85
2,10,14,32.25,87
2,10,15,34.625,87
2,10,16,33.5625,88
2,10,17,34.5625,89
2,10,18,21.75,88
2,10,19,13.375,87
2,10,20,8.937499998,85
2,10,21,6.5625,83
2,10,22,7.875,82
2,10,23,8.749999998,81
2,11,0,8.374999998,80
2,11,1,7.999999998,79
2,11,2,7.125,78
2,11,3,6.625000002,77
2,11,4,6.812500002,77
2,11,5,6.312499998,77
2,11,6,7.812499998,76
2,11,7,14.75,76
2,11,8,21.0625,76
2,11,9,32.0625,75
2,11,10,37.6875,76
2,11,11,37.6875,77
2,11,12,42.8125,84
2,11,13,45.375,86
2,11,14,51.375,88
2,11,15,44,88
2,11,16,45.625,88
2,11,17,46,90
2,11,18,29.375,88
2,11,19,21.75,88
2,11,20,12.125,86
2,11,21,7.750000002,84
2,11,22,8.4375,83
2,11,23,9.062500002,82
2,12,0,7.750000002,81
2,12,1,6.9375,80
2,12,2,6.812500002,80
2,12,3,6.499999998,79
2,12,4,6.625000002,79
2,12,5,6.499999998,79
2,12,6,6.124999998,78
2,12,7,12.875,78
2,12,8,23.125,77
2,12,9,38.375,77
2,12,10,40.71428572,78
2,12,11,43.375,80
2,12,12,46.25,83
2,12,13,54.125,88
2,12,14,55.75,89
2,12,15,59.125,89
2,12,16,55.875,90
2,12,17,44.625,90
2,12,18,26.1875,88
2,12,19,14.6875,88
2,12,20,9.625000002,88
2,12,21,6.499999998,85
2,12,22,6.5625,84
2,12,23,6.1875,83
2,13,0,5.875,82
2,13,1,5.5625,82
2,13,2,6.1875,81
2,13,3,5.6875,81
2,13,4,5.3125,80
2,13,5,5.5,80
2,13,6,5.375,80
2,13,7,5,80
2,13,8,4.5,79
2,13,9,3.75,79
2,13,10,2.5,80
2,13,11,1.25,83
2,13,12,4.1875,86
2,13,13,3.3125,87
2,13,14,4.0625,88
2,13,15,6.062500002,88
2,13,16,12.6875,91
2,13,17,14.1875,90
2,13,18,16,92
2,13,19,14.75,91
2,13,20,10.25,89
2,13,21,8.25,86
2,13,22,7.3125,83
2,13,23,6.687499998,82
2,14,0,6.75,82
2,14,1,6.75,82
2,14,2,6.124999998,81
2,14,3,6.499999998,80
2,14,4,5.875,80
2,14,5,6.124999998,80
2,14,6,6.1875,80
2,14,7,5.1875,79
2,14,8,4.125,79
2,14,9,2.5,80
2,14,10,2.75,81
2,14,11,4.5,83
2,14,12,3.625,86
2,14,13,7.999999998,87
2,14,14,5.974576271,87
2,14,15,3.375,92
2,14,16,10.5,92
2,14,17,13.875,90
2,14,18,12.1875,90
2,14,19,15.9375,91
2,14,20,12.5,87
2,14,21,8.937499998,85
2,14,22,7.812499998,84
2,14,23,7.750000002,83
2,15,0,7.5,83
2,15,1,7.437499998,82
2,15,2,7.375000002,81
2,15,3,6.312499998,81
2,15,4,6.1875,81
2,15,5,5.625,81
2,15,6,8.8125,80
2,15,7,19.75,80
2,15,8,30.875,80
2,15,9,32.625,80
2,15,10,38.26271186,82
2,15,11,47.25,85
2,15,12,42.875,86
2,15,13,63.62500002,89
2,15,14,75,90
2,15,15,69.375,91
2,15,16,63.68749998,92
2,15,17,54.1875,92
2,15,18,27.75,92
2,15,19,18.25,90
2,15,20,12.75,86
2,15,21,9.874999998,84
2,15,22,8.875000002,84
2,15,23,9.874999998,84
2,16,0,9.124999998,83
2,16,1,7.125,83
2,16,2,6.250000002,82
2,16,3,6.5625,82
2,16,4,6.437500002,82
2,16,5,5.9375,81
2,16,6,8.937499998,81
2,16,7,18.75,81
2,16,8,30.5,81
2,16,9,46.75,81
2,16,10,51.875,82
2,16,11,53,84
